project,Region,country,Status(as of 2025.1Q),Extraction Type,Resource,Total_Cash_Cost,Capacity,Cost_Quartile
Hombre Muerto West,South America,Argentina,Committed projects,Evaporation,Brine,12119.372001717651,30.0,Q2
Tres Quebradas Phase 2,South America,Argentina,Possible projects,Evaporation,Brine,12119.372001717651,30.0,Q2
Salar del Hombre Muerto Phase 3,South America,Argentina,Probable projects,Direct Extraction,Brine,12138.472586840811,30.0,Q2
Tongan Dangtian,Asia,China,Committed projects,Underground,Pegmatite,12154.15461942215,10.0,Q2
Dagang,Asia,China,Existing operations,Open pit,Pegmatite,12182.57809975299,40.0,Q2
Raleigh Lake,North America,Canada,Speculative projects,Open pit,Pegmatite,12349.588368041459,0.0,Q2
Sal de Vida,South America,Argentina,Committed projects,Direct Extraction,Brine,12353.022140264113,15.0,Q2
Salar del Rincón II,South America,Argentina,Committed projects,Direct Extraction,Brine,12432.126070381455,3.0,Q2
Salar del Rincón II,South America,Argentina,Committed projects,Direct Extraction,Brine,12432.126070381459,3.0,Q2
Wodgina,Oceania,Australia,Existing operations,Open pit,Pegmatite,12475.282900243568,122.0,Q2
Xiangyuan,Asia,China,Existing operations,Open pit,Pegmatite,12479.218141940635,25.0,Q2
Jianxiawo,Asia,China,Existing operations,Open pit,Pegmatite,12515.509460886089,41.7,Q2
Salar de Atacama II Phase 5,South America,Chile,Probable projects,Evaporation,Brine,12530.69769121166,38.8,Q2
Salar de Atacama I Phase 4,South America,Chile,Probable projects,Evaporation,Brine,12530.69769121166,40.0,Q2
Centenario-Ratones,South America,Brazil,Existing operations,Direct Extraction,Brine,12584.169283234898,24.0,Q2
Centenario-Ratones,South America,Argentina,Existing operations,Direct Extraction,Brine,12584.1692832349,24.0,Q2
Yichun 414 Tanni,Asia,China,Existing operations,Open-pit,Pegmatite,12601.92288849633,50.0,Q2
Galaxy,North America,Canada,Possible projects,Open pit,Pegmatite,12611.65493218418,20.0,Q2
PAK & Spark,North America,Canada,Speculative projects,Open pit,Pegmatite,12611.65493218418,20.0,Q2
Maricunga,South America,Chile,Speculative projects,Direct Extraction,Brine,12629.066683713554,15.2,Q3
Sabi Star,Africa,Zimbabwe,Existing operations,Open pit,Pegmatite,12671.39514777231,27.3,Q3
