project,Region,country,Status(as of 2025.1Q),Extraction Type,Resource,Geology,Total_Cash_Cost,Capacity,Size_Category,Cost_Quartile
Barrow Creek,Oceania,Australia,Speculative projects,Open pit,Pegmatite,Spodumene,10780.92150454077,0.0,,Q1 (Low Cost)
Mallina,Oceania,Australia,Speculative projects,Open pit,Pegmatite,Spodumene,10780.92150454077,0.0,,Q1 (Low Cost)
Mt Bevan,Oceania,Australia,Speculative projects,Open pit,Pegmatite,Spodumene,10780.92150454077,0.0,,Q1 (Low Cost)
Mt Edon,Oceania,Australia,Speculative projects,Open pit,Pegmatite,Spodumene,10780.92150454077,0.0,,Q1 (Low Cost)
Mt Ida,Oceania,Australia,Speculative projects,Open pit,Pegmatite,Spodumene,10780.92150454077,0.0,,Q1 (Low Cost)
Thacker Pass,North America,United States,Committed projects,Open pit,Sedimentary,Clay,14955.577510620938,40.0,Medium (30-50kt),Q3
Sonora,South America,Mexico,Speculative projects,Open pit,Sedimentary,Clay,19669.56800794211,0.0,,Q4 (High Cost)
Boron,North America,United States,Existing operations,Tailings,Sedimentary,Clay,25000.0,1.5,Very Small (<10kt),Q4 (High Cost)
Falchani,South America,Peru,Speculative projects,Open pit,Sedimentary,Clay,15830.65128830804,23.15,Small (10-30kt),Q4 (High Cost)
Rhyolite Ridge,North America,United States,Probable projects,Open pit,Sedimentary,Clay,15728.07355502618,20.6,Small (10-30kt),Q4 (High Cost)
Jadar ,Europe,Serbia,Probable projects,Underground,Sedimentary,Jadarite,15167.90906663352,20.0,Small (10-30kt),Q4 (High Cost)
Clayton Valley I,North America,United States,Possible projects,Open pit,Sedimentary,Clay,16815.71237883658,7.0,Very Small (<10kt),Q4 (High Cost)
Big Sandy,North America,United States,Speculative projects,Open pit,Sedimentary,Clay,19669.56800794211,0.0,,Q4 (High Cost)
Clayton North,North America,United States,Speculative projects,Open pit,Sedimentary,Clay,19669.56800794211,0.0,,Q4 (High Cost)
McDermitt,North America,United States,Speculative projects,Open pit,Sedimentary,Clay,19669.56800794211,0.0,,Q4 (High Cost)
Teels Marsh Valley,North America,United States,Speculative projects,Open pit,Sedimentary,Salar,13243.63911943088,0.0,,Q3
Thacker Pass Phase 2,North America,United States,Speculative projects,Open pit,Sedimentary,Clay,16674.31344115668,10.0,Very Small (<10kt),Q4 (High Cost)
Tonopah Flats,North America,United States,Speculative projects,Open pit,Sedimentary,Clay,19669.56800794211,0.0,,Q4 (High Cost)
Tonopah II,North America,United States,Speculative projects,Open pit,Sedimentary,Clay,19669.56800794211,0.0,,Q4 (High Cost)
Zeus,North America,United States,Speculative projects,Open pit,Sedimentary,Clay,19669.56800794211,0.0,,Q4 (High Cost)
